,from,to,filename,start_location,end_location,distance,polyline
10,4,19,Chiapas-Tuxtla+Oaxaca-Oaxaca,"(16.7459946, -93.1645893)","(17.0812951, -96.770751)",564544,gveeBlfswP{hAhEuYbuBou@poAen@fnBeQttBnh@|]qA~t@ni@jzFnp@~rErh@n`Bbh@xBpQvv@tRlIpd@ht@kVvaDre@lgOxFb`FtfCd_Ebo@`t@fcAgEnyAbuAdqDdeCrhBbqBfvGfnDldFn`E|gHvhEfbCl}Av{BxhDfdE|vFxqChwFj~DxdHnyAzsAv|@cUn{@}]|\et@tp@lLpk@eAh\hdBvpAgs@vw@_EnPpf@d[xG~RqGdbAlQnp@aXxi@fy@nkB|g@~n@cD~j@uw@`f@wYba@pxAnm@f~BhDb{@uhBhnByPptHudAp_An[pbC~zAzn@pXnhA{w@hgEemF`hKmiGxhKmcAh^q_CmLqvFsm@_uBf}CcgFx_F}Eb{A{bA~f@osCdbGodAn}Hwy@f}@aZp`EyLvdE{s@zg@jg@nwC{b@jvBixGdjPup@v|CdD|{DgVliF{zAh`HpLddMmBnjCcf@no@rb@|eN_PvkCy{@`{C{x@`aJgy@byIvVv}IrlGjaFl{ErqD`uEpdCfpEtnAf|CbvBr_BveBnzEbhAfyCzlB|dBxcArCjs@ilAr`Hsl@fVo@vbBqL~pBep@zeAe}AiAosAdg@cm@jeCuf@wN}h@zr@gcBnhAc}@ntDrCtcKtcAdpCjhAr}AhaAvxCmMj~@_p@~o@fT``A`Rx}Csg@vjGdy@diCxClmEfM~Kw@p]~\rw@|D~lA{DvhApDd}@mv@`aAa`AzzAsL``AiYzC{Zl`@hBrc@{CfeAurAhl@mt@faAggAvkBifBvu@ojB~tAcYt\ahApQsz@`|@{I|i@u]|m@uUUg`@fVeh@pC{^zeB~Cv`@lHzHfEx}@|B||@_t@|a@`_@`TsRt\kLrt@av@nlBpe@t^qm@r\wn@lUy_BzTyoCu@wq@oEsp@hq@aw@rc@`Sne@ka@fy@mRjx@ek@ld@i`AnfAsh@jbBS|hBcc@niBip@|m@zBbjAce@ft@_~@~Lk\v]hOpaAga@de@rZfu@llAveApT`n@vVp@Qjf@tc@bIwVv_@hS~~@c]sB`KtWyAxW|g@nTfZ~RuUdr@Wjp@p`@lgBilBz{CcnAtUoaBz`AukAms@se@aS@``@wt@jBatAtr@{h@dbAgjAlLgo@z[qHzUeu@d\spAkg@khAw\g[dIs_@fq@qw@yS}iAfjBmoBdUm}D`qB_eDdV{Tj]}hCnyGm`Cp`EmlHlhMifD|_LHr_Bw}@n~BysAbhAcq@nuEgE`~DoHtT{SjDuTpjAxVhx@mTxh@_R~p@
11,4,29,Chiapas-Tuxtla+Veracruz-Xalapa,"(16.7459946, -93.1645893)","(19.5420462, -96.9199274)",647566,gveeBlfswP{hAhEuYbuBou@poAen@fnByUb~@rCpu@nh@|]qA~t@xX|aAtOlwDbMbvCu^ja@agDvyC}h@js@ek@|jBihDfhByzAtw@oj@dl@um@nnAcv@`Iu|@dj@ma@bp@kl@pIkt@|cBsqAdXuoA`r@qgAvkA_o@za@k{ArOqv@fZue@dBax@zh@_b@vj@klAzUgeAxaAkQzb@vEjv@}UtYw_@j[sRnaAke@hw@ajBn{AqjCrk@c}@nd@yw@|R{bByS{\to@uc@dWcjA}Pkw@uEcx@t^qsAkhA}j@w{Asu@wOP}r@ea@c_@gpAUat@wMis@pBuk@xy@m_AzMs}@i`@kxAloA}dAJmnAx}@u`Ax\}wAnJihAnTqpA_Q_]_V_i@v@smAp_@qcEtuBwmBbc@}m@fB_s@ni@_uAtf@suAfUscAlP}aA_TgfBzQomCj}@ejAzY{nAr`AmwA~_BujAfwB_hDttDwqBddE{iDvfJi|EraKipB|yEuiCpxEcxEjhHmy@|nA}g@`bB}a@psBw]pn@coGxoCiyDlgDsmHnlFajCt|BynC`~A}vFf_CidF|oCiyFduD{x@ra@oRhbA_]tmAvTx}BxNlzA_Z|s@jKh[r}@vk@`wAn_@ht@x\xZbcAzi@tnBv{@ziBds@jvCkPrlDkRbxCwHvjAr`@diEes@xoHxEfeAdx@f|Bzx@nkAxaAd{@~cBteEtpEtrIfj@jhArNj_Br^p}GgEdeGv[|oCxl@`pElQtsFpLnrEo@zvA}^pdByoAb}Fw|@tgFy|BfwOklAffIckBxdF}sIn}SerJ|~Su_GdoN{~DxsHwlGpdK}`F|rI_tG`aNu}CxgGqyC~~FogEbrGoaIx~LmaEpdFibEdeGwvGhhM}rDrbHycLdsRamRbyZkpGrpJuPhHqCaUuEiiAuz@{}BoyBoiDy_FavDqbGgcD}bCslAssC{wBe_JutGwkI{jFeuFsvDdsBebCkjMrcNerHx}B}n@vFmyA_sAc_@mVylB?_eAgBw{BrmBehEbzB}qAz{Akx@Qu{CtlAy|@jl@oe@rlBgnAjIokA~A_Xpr@Uz~A~A`k@n]rOpyAnf@`{AnbGtb@zhBfr@nhB~@hgDwd@fqFmPrfAs}@lj@{v@zfAEfyByaDtkE}p@dnBiuBbbBskA~|Bg]vmA_X|pD_}@p|AsHpgAwu@x_Dsx@lqCueAhtAmv@v`Bkw@tbA}J`j@dIbkAwQnReZrx@aB~bAc|@jcBkh@v~A_~@jfA_f@voAwKiB
12,5,7,Chihuahua-Chihuahua+Coahuila de Zaragoza-Saltillo,"(28.6709132, -106.134658)","(25.4303723, -101.0532635)",744863,aw~mD|lxfSuGYyLxClAiChRqJn\sPz}@mBfUrFj]eIzX}Xbn@iLlh@{Q`m@qr@xK{RlONb[Dxd@ab@ha@hCfnAfp@hEhG_GwC~Xs\qJww@af@o`BzLs~@cN_Y}n@io@kEkv@mI_m@jUa[z]unF}h@{v@nTihAvTq_BvOaU`}D_o@ffB{[rmCegBldBcmEnlB}~E`q@aeBzl@mbA|Nyo@fp@quC|TunCkCmrCiBidCnDip@|c@edA~nCilFzuDwaExnDojFfmOepUgF{s@tZ{p@|c@im@vTuT|y@[lbD{]jbEwz@biCgIjdAyq@neIsgDr|Aip@ty@q_Ad~@}eAls@qyA~k@c{Azs@}qAlr@s_Ajh@sU`fCsv@dzDyjAhk@sc@xw@uw@xfFo{Bh{KgeFxkBovAvaCc_ChcEgw@xeDmSd`CwDnzBxY~xArSpb@eUh}@om@|b@uaAbZgg@tnAs_@hp@od@hb@ejA`Ulk@hGhSd^oQlnAog@rkAae@paA}hBnzFicFruRq|P|tHcyGnkAicAde@oCzjHcJjkMaNpvGcH|hNgQn`EaFzh@miAfbCs_Dp_ImbM|Q{tA~q@u_BvdDukFpwFuaJr|Eg{HxkIa{QhtAqrC~u@ah@djCaxGtsD_eOnyCioEjrGqgJriL{wPfxFgpJxcFu_J|{BylDbiC{pC``@_Hd|@qh@dzIghEhwQ}yIzsO}rHr_MsmG~oD}|Cfi@qh@la@kc@pe@q_B|j@{iBxj@wjBnSoq@tb@gw@reCydBn_EsrCj{Fc`E`dWsyHzhByA~pCmc@|dDu`A`kAaAp}AhMrtCqfAbsDi_Aj{F_xAvyVgnHrhDahAfPxFqBwT{q@{o@{a@oe@fOiy@_DabAuX_z@i`A{fCir@esAc_AowC~\axBjbA{{AhYy}BnQgcAtWu[pgC}yA~^sdChQk_FrO}cA~cAiVnfDsq@`wB_m@hf@w}Bhm@m[cUujKkUmyQe|Kg}Z_iBsgFyHuVzTlGbGa|@fYgqD~v@ifEnkBsjFboAchElQozArA}k@el@wdBeoEibLagAknDys@}tEkgDgqK_r@eyOlkC{on@hPwtCjD{xDvk@ylPdwCaxNdiDmvN|cAq{FfmBocLryAcoIphEk`TvtDm}S`_Be`JhlBszLxi@}gIdt@g|F}SyzBaPuqCtDo{B_f@eyCcpAysHpTcvBh]{jCyCebEeQelAvH_`Ajq@}mA|l@qb@lt@rEeFhPrH`MkAdMuMxa@yGpUxFrYlc@zLgFt[uMbO
13,5,9,Chihuahua-Chihuahua+Durango-Durango,"(28.6709132, -106.134658)","(24.0226943, -104.6827442)",638431,aw~mD|lxfSaSIxo@e\nrB_E~gAgf@nvAmeAjx@eRxd@ab@ha@hCfnAfp@zv@frAziC|oDnwEtgDrrHbkBxgC|DhrFzqD|cFhdC`|Aj{Av|C_Ox{MejCvgHiyAztAfEtiBdv@n{Csb@|bE|UnjCyPhiCyp@p_H_hF|rEmfFdiCobCbaAmFlqAz}@pjEvrBp~@`[lbAyGjeCifAtkFctBnoAqp@|j@nOpwChc@vk@{\`~MqkJz`GiiEbyDqzE|a@gvAeFk`A~gA}{Ap}@uQ`u@gbAxo@}ApqAolAzyAid@rgCahBzpAehDzpEufB~zCoeAlr@w~Bpy@wr@neBoxAvcA{i@veAkiBbx@}i@jnA}PnuBm_AtpIwcGzvHohBdsGyqBreAo|@zlD{g@lnE}aCdoFgrAloFqm@hiCleAhjBjrBf{@~f@~iAxXviAgVtsAcJt|CgGv`B}kAhxBs|@xc@oW~j@v]fQtJhYs^_Vc`@`{@e}Alo@k{@lcBop@rrApUpdDpW~mBll@f~AiIx|EkdC|`Bk\h~Ayo@|oDy]~bBjLzjBax@~tGypDljD}{@~}B}yAxdEedAfo@gz@xv@gQheCaKf}D}`@zlClJvv@xb@ddBbOngA_]jeAo|Cvj@ef@deAcmDxa@ijC}NifE~l@olBdd@iPrK_y@z]gi@b\q|ArbAmp@pk@qaCxtBw`K|}@cuEpaDghDzbFsvErkEybFdpGiyEbgIeuF`{T{iOtboAcbz@~sJ{lG|eAym@d}AdTvzAvFljAok@taAuGhUz]lmAjBbaAne@pbCoTjx@db@bg@dM|nAcHziAfLv[t`@d{@iCfbBhRjjG|zB~gEhsAx`Di`AxrBq|B~vFmmChkAyEdAqe@xLqz@ndCcwAn_Fi|Ap|Bi~@|pIyqEhgF}rC`_AqZiEvc@bUlKzS{H{F|W}Jba@nb@yAvz@|vArNn\x_@bTbtAw[jfAc_AphAkg@|Ogf@d`Bol@nbAdEjTwe@lw@wLznBgm@b~@c^jj@`Gzd@y]p{@`Rvh@nKjc@yJzIdv@naA`jBdeElkAdtAv_@nkA~rAz`CxpE|{A|nCra@lyA~bA`dA|_AtfFdtAd|@`eAoPzcFeVvxFfSdiFp{@tcHpFjjCjxAn~HrzEj|G_H`xD}MfdBbLp`DznAjhDoUloHqOf`DwH`|@jo@~tFsa@vjEvYzzAOtfBlXnwAcr@pkBycBhhBs{AttA_xBtwCxVbd@lYtB`g@hJ~h@vl@~dAfk@nSbWy@rIqd@_QeBmNaC
14,5,25,Chihuahua-Chihuahua+Sonora-Hermosillo,"(28.6709132, -106.134658)","(29.082137, -111.0590266)",891671,aw~mD|lxfSgtAdIejAoc@qoBvn@enCxlBcgDpuAubGlq@grC|s@ajCheBuy@`fButA|nAk}HfiEgpJvhFizCfaBcjDlj@{eLx{BazFlpAmvEx`BuiE`u@saMnfAkdDjZqjEtfA_hJdp@ovMozA_wOrhM_cZzi^o~GvqHoY`vDobGpnGekBvhFcu@zxKac@`nAsqFvqEqeFveEeuBz^cfCn^eKf|@kP`nEg{Dd|SmsBd_SuaHhjY_lFhfHgjDhcGeMf}KqaCbqFiOlrBkdBj`DovEhqJ_yFrpNgyEfnIqeDffCyi@ntBwxAhxAmnKvbI{nClsB}~A`p@sxEt[kkA~XiHhj@sc@xHan@zmBq|Ajm@qwIf|CicVblI{mPpgG{sNxyLwsJ`iIsOfm@iEzaEa~JzbTkeQreK{gHzvDcrExvCsuNx`PaoLpdOe~DffH{eAhtFoNzsAhQpr@jFbwCeh@ha@gApaArT~YqJff@iLdl@ze@paDM`_Jki@tzMb^h~Bxm@ryCb@lvAc\~w@q_Ad{AtGfa@aB`lBjv@j]zLlx@kY`dBjUh~Ap]rwAi_@vhKpH|}RqSbzOdc@vhIw~Ap|HcFf{DluA|mFqHrcAvd@hvBuWdsA~XdgCznBpeNjpB~hLqOhqDja@jqEru@dgDjrBtyAvnCnhExjBvoCnP`wBv`Ar_AveGfmFfzAdbB|f@~iB~tAtyC|_A`hB|d@`tAfjF~gLrpEvnOtr@z~Bz|AhaBlfAxiAEzhAae@pv@wQ`eAkqAvpD}^z|AvLpaAjMblAyd@tw@_k@rx@fHd_Ara@`Xb`@fz@pZbM{Kpw@lZj_AtD~~BRtvA~c@~m@wZvoCu_@f|AzMrfBt`An}@|MliBjOf{CdxA~[~o@raAdsDv|Af_F|bBzcFhnFyZbt@m|CnrCdA|}Btx@dM|aAta@lUkFrMt`@{J~t@kLzk@vj@r\zAhp@`bB|Ibt@f{@rm@bpDxo@fs@f^h|AbwC~mBn{BbxC~r@dVvfBuV~aFxq@nR`z@x_Api@p{AjLhmBzbC~vAhrD`k@hbAvoBlj@raChn@hKbaBuv@xgBt[lwA`tBz_FrcAnpEdjDrwDd`A`cAxsAr]hiBur@rlIauBdj`@`r@p|_@aEjxa@zvAbqBoFd_Ado@j`FeiEn}C_oA~}C_q@jmD_u@h}Fw@jcM{gAxhXkrDlb`@}iFjq\ifGvhIyvAvv@tnD|dAlOxpABbmBzEf`FiLb_@vk@fLzhBcIl|BuGptDpj@pzCdo@p[oJj[DrB
15,6,21,Ciudad de México-Mexico City+Querétaro-Querétaro,"(19.39068, -99.2836971)","(20.6121228, -100.4802572)",234405,{fjuBji~|QzD]vCF|GcAhFElJpBfg@rGtGInCiHpLkAaBeK`CwHfCeHb@gA}@kAwC?sAQ{IwCwUvD}QjGhAbEcEpA{VuGiR\wVnIuJvDyJjRq@hSjJja@bDxM_^xF{t@_Egv@|V}Nm@uPyNqSkLqUlEwYdF_c@`@q_@dJgf@n^c_@vVep@pIg`AfVmQxC_W_Ean@eUmZgGsc@mLo[{b@mc@s\cXwN{u@mr@ke@gVsoBcYwx@jBaQuE_m@a\uXcKuLm@mW@kY{D_d@cPkp@cuAqcBcjBcN_QqNiTq[iY}ToZsy@}aAsJyVyAs]sJmo@j@uG~DxMgi@xF_s@pHqqDx\mtFzg@c`Jzy@edA|i@elAlr@obBxm@ui@f^gTzRqFtN{p@vxBwRtVo\fY}`A~y@{QnUgEjN{Pxx@iRj{@_Rj_AoHjXkHbUkQzQ{g@ff@wSjPuLjAid@vHyZrN}\`PiLjAwMeBaM`Ba`@`b@o\fs@uOtW_Q|OaXpVmUlW{IlOq^pPaX|QcYxN_KrTu]z{@w]xw@yFvGmMfi@kW~TaKzOkP`JkRrXeMvR{O`Du\dF{LvE_JrKaEzRmO|{@ed@jkC}ZbzAge@b~@ezAnsCmh@hcAqX`~@yq@vcCk[vhAeJzWyMzLmT~QqVzSkf@~a@uW|ZyYvMge@rx@eTnWkTrZcE`VoCn]dEpl@jGvx@B~n@a^vvBiSlcAuj@dp@{RbTsZdRyU|QaCrGuYry@cI`Lo]~d@gMrOwTpJca@hNah@|Pyr@lWigA|bAodBdxAmpBz}AkfAtz@sm@tl@gUbZueAxuAi}@dkAcnB`hC}o@nz@kYzd@}DrN}XvcAcc@b~Ae]xnA}u@raBa^~t@sT~e@sErIoMlIk\bBcZkHg]_Ne\hEyb@rN{_@nMii@~\id@zX_g@vc@i}@dbAqMlQiDzVgAjTqIlRu`@py@_h@lcBc@~d@aXnc@}i@b^w[zSySrDkOrJiUxWe]l`@m_BliBow@|bAw[vc@_MnG{UfRgxCd~DcwAf`Acn@jr@_oApdBc`@|h@a[tz@_On\qWx[ah@hw@{]nl@}o@rhAs_BrpCmi@`_AsL`e@m[p{Ay^zx@sH|Ps@~MjA|eBlA`fBnHt`AyDl_AyE|[eTr`A_Fzs@gXdb@g\`BwIfFyD`Tk@na@tH|IrK|DzIxWnQpwAp^ndDyLfXb@ldC^xiA|MbcChCra@u@vZ|H|m@r@dSkGpHq]zJ}n@zSct@rRan@zF_SzCwDuAgByPyDq[uCqNaDmBkAgGuQbC
16,6,12,Ciudad de México-Mexico City+Hidalgo-Pachuca,"(19.39068, -99.2836971)","(20.0825159, -98.7917974)",108150,{fjuBji~|QzD]vCFbD\TuAbBKpCMXA|@HlJpBhXdGzFz@n@c@pDIpTEzSdAhFd@dMxFtIzBz@n@zA}@|CAbCKbEi@nAXZ_@VaBuA}IaD_UsHek@k@eCiCgDkQ{P{EgAsCH}GlBkALgBe@{@iBQ{C^oBAmBqCaCu@sA_AkJ{AsKuGcMuRyUsZej@qPaU}@mCh@{Gb@sD{@cEaEaGsCsFaAq@sJiCsFOcB_@mBoBm@iCJ}EiAkF{DgMEkFg@_FsC_T^oI]yHeF_VwIe`@iG{OoEuHi]{n@mWsk@qM{YoJmVqEyKoDwLeAsEqAkKo@wDGyCuLqFoEeA_FpAoKGcC_AwXqOaX_Mc_@{S}McGeMwEuJoEuWqDaL_BkIIoWuAcPoBuE{@cBoAgIkJsHiDcCoBoAgCa@gEpC}UrA_UyC{SmDiR^uAz@w@hAkACcB_AaAmBm@o@GyDoCmEaCuGaFmYcUiz@}o@_s@si@oJuDmNuCmVmDoMuBsCuAqDgEiEgJkEmLmFcNcC{F}AoBkD{B}JwF_DuD}ByG{BiEuHoEaPuIuMsJkIgGcBaDg@qDEaJiBaG{C}GuEiIaFgGiKgMqKeL__@k`@gEkEwHiFmG_DcK}EmLoD{c@{JgCmAeDeDi[_h@mHkLgE}E{VeUqI{HwFaDcWaIiQ{@uGqAkMmFuEeEoDiIsEiFiBaAwIqDwUuJuKmEuMuCoc@iGig@mHgJmAaLkCqO_Hcl@}VaSuIiJgEuMqHcEs@o\mNeWwKouAem@i}Akq@}LeHiN}Nk^aa@gx@g}@kYy[uHyGoKkG}a@yUej@g[cjBaeAuyBapAaW_OoFwBmGe@{IMmu@eAeu@eAud@s@eKKkRd@eFd@qHr@yk@lFyy@|HuZnCeMhAmI]q^kH_u@aOsHYoP~CkZnGcr@bOiOvCyHLyQ]km@o@}[y@sKmC_eAm[mb@kMw^_Lmd@kM_]oBkXqA{GyA}FqD}IwJqNqGes@ao@oSoR}FaGePmUiWw`@wGyIwTkVwYw[_VuW{Xgb@w_@qk@yNkRon@eh@_i@cc@g_@oZuJeGwO{JeJ{H}OaOkOaNsJqFsJaEuMeI{a@wWsPoKeG}F{F}GkGiFwk@ub@k]_VoKmI}McQaNaQmMkMcQkNij@q[{GuEaF_FgKyMoUiYmBwByGwFqLeJe_@m[e]oSqOqJ_SeIu~@y`@kDeBgA}@@aA`B}Cx@AJjA_A|BmD`Ba_@|MmV~IqRdH_SfGoZbMk@Xt@{If@eGd@yE{BDcH_BsCfBkBhBaBTiFg@GA
17,6,28,Ciudad de México-Mexico City+Tlaxcala-Tlaxcala,"(19.39068, -99.2836971)","(19.4167799, -98.4471055)",120852,{fjuBji~|QzD]vCFbD\xBaBjDO|@HlJpBd`@`I`Fm@li@~@nT~GtIzBtHOfIu@jBE}@_MuMeaAuDmHkQ{PoJ}@}GlBsDWmAeG\}EqCaCqEsYk[}c@el@g`ASiLWwJuIuNuL{DsFOqEoCa@gJeGsTm@kMsC_T@iS}Pew@yMqYi]{n@_Vyi@eE{JtJ\zKyI|Js@tRNxHe@dA_SgAaRfAmc@zAkQnDiMeNwr@}Ksc@qFw_@v@{mAbCmhAkGge@cFgu@kHsu@oI{|@_@yMtCca@rGw|@oB{MiDkF`DyJdr@{wAlt@m|Al{@giBjh@e|@no@q`Ava@wm@vH}JrEqH`@}I`JkPxV_Yfx@wz@lc@uXbmAmzA~pB}eCjbA{nAnXw\nFwHnAqHE_Fi@mNgCox@mFyfByDem@_Nsx@o\unByYyqAaWsu@}Vuk@k[ys@wDuNw@wOdFid@fD}V_Ds[rAsJhGeEnP{@rFmChLmA~FPpMyBhIs@lIsH]iUWmIz@kJaCoJ_DiI`@qIjF{FbMoA`HuBlDmGL}FoEiOiWix@qDeImEuBiPeCkC}BqBgHp@yGzGsGfHiKxHqKpNsAxIwGFgNiG{GwJQyJzFaQ|@eX}@sFmFu@kNeBoJaMsIoCuFxBkUEa]eBoGaLgFuQeBgMkI{P_JuP{EoIoDkF}HiJoTeKqUo@qIdDi^~BsGxDgCtJ}@vHiCpCgEScNcJkVpEeSTmG}DySyLiPuKcEkFiF}@kH~AgHdAmRaBaIcIuKgDeCeHy@wVnLiFr@_GoA{HqMwPab@iA}HNqOzHmPxDaOD_JiGgTeFgOg@s`@eAiP{K{TU_F`GeKhOkInBaHk@i}@l@sO|L{LvBsIgAkWaA_d@pK}XjPo`@fAoI\yLxJmKzXaU~FsI`BiReG}^_BeNnC{SnBgQsC{NyCgLZmIvQkr@bDqIRsDaCk@sAWeEs@ToBd@wDKqBf@gP~Gy\pHuVtGy_@tScn@d[_p@`Qk\jA_JZaY`DaNsSaIkIwDaNPgUA}CgFuFwEgEwIkHB}Gcd@cB{JkR_@gWcAdF_a@uNsEgI}CeKNcMoIwFuAwEpDiH~@yW{@yH}CiEnAkGpGeEu@cGfAaItGyClGyAtA}C}CkHKyAoDcEuNqA_FqAsE}Al@eCjAY?_@oBCsA~@cP~AsPkDkAgCr@uAzBcI?gKaAXiNZcT_H{@cJiBmJ]aLdBmDeAsGcHaFeHuFeJAiWeA}KkLuJsC]mJaHgMqCiTqKgMqOoM{FyRkBgUxAcFqCiBoCiDjLsA`F
18,6,20,Ciudad de México-Mexico City+Puebla-Puebla,"(19.39068, -99.2836971)","(19.040034, -98.2630052)",150056,{fjuBji~|QzD]vCFbD\xBaBjDO|@HlJpBd`@`I`Fm@li@~@nT~GtIzBtHOfIu@jBE}@_MuMeaAuDmHkQ{PoJ}@}GlBsDWmAeG\}EqCaCqEsYk[}c@el@g`ASiLWwJuIuNuL{DsFOqEoCa@gJeGsTm@kMsC_T@iS}Pew@yMqYi]{n@_Vyi@eE{JtJ\zKyI|Js@tRNxHe@dA_SgAaRfAmc@zAkQnDiMeNwr@}Ksc@qFw_@v@{mAbCmhAkGge@cFgu@kHsu@sIsr@BgI_@yMtCca@rGw|@oB{MiDkF`DyJdr@{wAlt@m|Al{@giBjh@e|@no@q`Ava@wm@vH}JrEqH`@}I`JkPxV_Yfx@wz@lc@uXbmAmzA~pB}eCjbA{nAnXw\nFwHnAqHE_Fi@mNgCox@mFyfByDem@_Nsx@o\unByYyqAaWsu@}Vuk@k[ys@wDuNw@wOdFid@fD}V_Ds[rAsJhGeEnP{@rFmChLmA~FPpMyBhIs@dBk@fFgG]iUWmIz@kJaCoJ_DiI`@qIjF{FbMoA`HuBlDmGL}FoEiOiWix@qDeImEuBiPeCkC}BqBgHp@yGzGsGfHiKxHqKpNsAxIwGFgNiG{GwJQyJzFaQ|@eX}@sFmFu@kNeBoJaMsIoCuFNyIhBqJo@qJh@oQeBoGaLgFuQeBgMkI{P_JuP{EoIoDkF}HiJoTeKqUo@qIdDi^~BsGxDgCtJ}@vHiCpCgEScNcJkVpEeSTmG}DySyLiPuKcEkFiF}@kH~AgHdAmRaBaIcIuKgDeCeHy@wVnLiFr@_GoA{HqMwPab@iA}HNqOzHmPxDaOD_JiGgTeFgOg@s`@eAiP{K{TU_F`GeKhOkInBaHk@i}@l@sO|L{LvBsIgAkWaA_d@pK}XjPo`@fAoI\yLxJmKzXaU~FsI`BiReG}^_BeNnC{SnBgQsC{NyCgLZmItVobAhv@s{C`Vs_At]go@hkAisBxyAcwCb{@mfBxRyc@lXyv@dNcXfb@_m@`X_`@vI}^jEyTdKke@~JoOb`@e^`e@qc@`l@ei@jc@ug@bsAqeBhwD{~Ev_BstBvHeIrqAix@bToOn]i]pg@qg@xOcOvOiKjFr@pFsAle@bLhTkC~It@pfA`\`\|J|LtGbXtOxV`@|WThO`Dzs@fUpIq@rS}IrNiHlBgCjCeNzBaTxAeGzDuDhFeAlSlBhXnAv[pEzdAwE|JaB|EiEhJoU|E~BdFzBbA}AzDwJzFwQY{A}CwAwFmCySiKsBaAv@{Ev@oBnA}CpBbABD?DOh@p@\
19,6,16,Ciudad de México-Mexico City+Morelos-Cuernavaca,"(19.39068, -99.2836971)","(18.9318783, -99.2755844)",106340,{fjuBji~|QzD]vCFbD\xBaBjDO|@HlJpBd`@`I`Fm@tGI~@yDnAoBxLRG_BaBeKToGjBg@fCeHvAmDzDpCjGbErS~ClOtD`BtC|EjAjAyC|C{@lLyJ|BcExE{AxDKb@cE}AeAmDiCmSca@qKyUpF}ThD}FlDoAdZ_DzYyDnK~@|M_KlBcFrCab@jCc\eEyNw@qIdEgJjGkC`ITvOzD~NR~H{CfScO~IHr}@~TbK}LjKkPvCsFc@uHyEyK{IwGoRuVuC{Jt@cFnGyJrDv@bFdApO{Av]kHvS}PlFuNvCsXxK_z@xLq\y@oh@yDa`AlFu{@xDaj@tJmUjn@ac@hDkCnEQxTr^vO~VpXdPlUxJbQgF|QuDla@vJnPrApUuWrXe^pFeEnEc@tKVxHaElLoPxD_KrHiGbMwGb]eK~c@iNxH~AtJxHzPiA~EcLuDwKt@gHrEyGqCwGqMOiJoIcCsQ|PkM~EaB~LVrE~@zCvEvDbBdF[xKzFfTfMhSKnMrGpJrF`I`AnPl@zEzFSjWPpIvCpIdWvp@pInWhEzCdIv@b`@sLxMcEfRuAlR}Ghf@}XbTp@rHjJbHlLvYf@pG~A|JxHt`@lR|tAnf@bSlLrM|St`Adu@xVdKnXfHxKlGtTxN`HxO`Ld^|Vze@ni@dbAh^rYlUnT~D`\fDtb@hKdLxk@bPzPnHbOzKzM_@~Md@jOvAhKj@hUpNlJbAfOcB`KgCrDcDnOeU`q@_p@hPwFbQgQdIs\_CkS~ByQmE{S_AqZvHwYbK}MjW_OfBuLwC}c@uJqXqFcUvIs_@OyZfCcGpGcFbGaPtJoPUkUzEiPnEcWeCmTl@kS_HeUs@m[fAwEnCo@dDvC{DfOzNtb@zPz[lB``@hGvs@bQ~d@jEjYzMl\xDrW`Pp]`O~V|K~GlFdI`F`TfI~IjWzUhKfW`_@nf@bEvNzBve@y@pRt@fL`D~MfF~ErJv@nP|CdFbJXfG?zPlDvHtLlBrJuHzB\h@zDpB|G`Nfb@~v@gG~e@{C`AtNd@xDfQd@xUeDfJ`DbPzAfJwAtDeCpBxA~GrBDlAyD~JcCnLmFnCaK`OKBAXFFuCxGmL`MuB`HgMfNiJnK{WpK}AhPoU|TaSzLkOnMcNzIkDjAaF`J}InIeCvFLnGyGlKgHtH{AjDfFkEdIaFnHeCt@n@}@lBaAjEnCtAvS{StElBnSgChDkCsETnHqGrJuDjD{ChGo@hDLxG{@vKeHfXcQhVwGhH_HdMqNtWiSrAzDjBj@ChBCjAB?
